user_id,conversion_time,converted,revenue,country
1,2025-12-20 16:25:00,0,0.0,GB
2,2025-12-01 20:56:00,0,0.0,FR
3,2025-11-17 07:06:00,0,0.0,DE
4,2025-12-26 00:00:00,0,0.0,US
5,2025-10-15 05:22:00,1,9.85,US
6,2025-10-09 01:30:00,0,0.0,FR
7,2025-10-23 23:53:00,0,0.0,US
8,2025-12-06 22:43:00,0,0.0,FR
9,2025-10-20 05:30:00,0,0.0,DE
10,2025-10-16 21:39:00,0,0.0,MX
11,2025-11-10 20:13:00,0,0.0,US
12,2025-12-19 15:47:00,0,0.0,US
13,2025-11-30 11:48:00,0,0.0,US
14,2025-11-26 07:02:00,0,0.0,MX
15,2025-11-24 22:25:00,0,0.0,MX
16,2025-10-14 00:44:00,0,0.0,BR
17,2025-11-21 00:27:00,0,0.0,ES
18,2025-10-06 21:08:00,0,0.0,DE
19,2025-12-29 00:00:00,0,0.0,GB
20,2025-12-30 14:36:00,0,0.0,ES
21,2025-10-07 10:52:00,0,0.0,US
22,2025-11-25 05:57:00,0,0.0,US
23,2025-10-27 22:45:00,0,0.0,GB
24,2025-12-31 03:33:00,0,0.0,US
25,2025-10-23 14:33:00,0,0.0,US
26,2025-10-09 19:59:00,0,0.0,MX
27,2025-10-10 21:37:00,1,11.15,MX
28,2025-11-19 15:10:00,0,0.0,FR
29,2025-11-19 21:16:00,0,0.0,GB
30,2025-12-11 12:58:00,0,0.0,MX
31,2025-10-06 15:40:00,0,0.0,MX
32,2025-10-05 08:00:00,0,0.0,US
33,2025-12-09 09:45:00,1,11.55,US
34,2025-11-25 01:29:00,0,0.0,US
35,2025-11-27 18:11:00,0,0.0,GB
36,2026-01-09 02:07:00,0,0.0,US
37,2025-10-24 13:58:00,0,0.0,CA
38,2025-10-30 17:33:00,1,8.27,US
39,2025-11-19 04:36:00,0,0.0,FR
40,2025-10-29 23:31:00,0,0.0,US
41,2025-11-28 01:43:00,0,0.0,US
42,2025-10-30 13:20:00,0,0.0,FR
43,2025-10-16 19:36:00,0,0.0,MX
44,2025-11-25 20:20:00,0,0.0,FR
45,2025-11-07 22:55:00,0,0.0,GB
46,2025-11-08 19:53:00,0,0.0,DE
47,2025-11-08 15:58:00,0,0.0,US
48,2025-11-20 05:12:00,0,0.0,BR
49,2025-10-20 12:34:00,0,0.0,MX
50,2026-01-09 20:20:00,0,0.0,FR
51,2025-10-17 23:28:00,0,0.0,CA
52,2025-10-11 20:10:00,0,0.0,BR
53,2026-01-02 18:27:00,0,0.0,US
54,2025-12-28 22:14:00,0,0.0,CA
55,2025-11-16 14:10:00,0,0.0,US
56,2025-12-24 02:31:00,0,0.0,US
57,2025-11-16 09:00:00,0,0.0,DE
58,2025-12-03 11:46:00,0,0.0,CA
59,2025-11-20 18:15:00,0,0.0,ES
60,2025-11-03 00:00:00,0,0.0,BR
