user_id,country,signup_date
1,GB,2025-12-23
2,FR,2025-11-24
3,DE,2025-11-11
4,US,2025-12-25
5,US,2025-10-08
6,FR,2025-10-14
7,US,2025-10-25
8,FR,2025-12-01
9,DE,2025-10-12
10,MX,2025-10-07
11,US,2025-10-30
12,US,2025-12-14
13,US,2025-11-24
14,MX,2025-11-16
15,MX,2025-11-11
16,BR,2025-10-05
17,ES,2025-11-20
18,DE,2025-10-01
19,GB,2025-12-27
20,ES,2025-12-27
21,US,2025-10-02
22,US,2025-11-13
23,GB,2025-10-24
24,US,2025-12-24
25,US,2025-10-15
26,MX,2025-10-13
27,MX,2025-10-02
28,FR,2025-11-13
29,GB,2025-11-10
30,MX,2025-12-03
31,MX,2025-10-06
32,US,2025-10-06
33,US,2025-12-01
34,US,2025-11-21
35,GB,2025-11-16
36,US,2025-12-28
37,CA,2025-10-20
38,US,2025-10-24
39,FR,2025-11-15
40,US,2025-10-24
41,US,2025-11-20
42,FR,2025-10-24
43,MX,2025-10-10
44,FR,2025-11-18
45,GB,2025-11-07
46,DE,2025-10-31
47,US,2025-10-31
48,BR,2025-11-24
49,MX,2025-10-11
50,FR,2025-12-29
51,CA,2025-10-07
52,BR,2025-10-08
53,US,2025-12-21
54,CA,2025-12-26
55,US,2025-11-10
56,US,2025-12-11
57,DE,2025-11-11
58,CA,2025-11-27
59,ES,2025-11-08
60,BR,2025-11-03
61,GB,2025-10-25
62,GB,2025-12-10
63,GB,2025-12-16
64,US,2025-10-13
65,MX,2025-11-23
66,US,2025-10-02
67,CA,2025-11-10
68,US,2025-11-22
69,ES,2025-12-15
70,US,2025-10-20
71,GB,2025-10-01
72,US,2025-10-26
73,FR,2025-10-13
74,GB,2025-10-29
75,US,2025-12-25
76,FR,2025-10-31
77,ES,2025-12-30
78,FR,2025-11-22
79,BR,2025-12-27
80,US,2025-12-19
81,US,2025-10-13
82,ES,2025-12-23
83,BR,2025-10-13
84,US,2025-11-17
85,FR,2025-12-11
86,GB,2025-10-14
87,BR,2025-11-28
88,CA,2025-11-02
89,CA,2025-11-05
90,US,2025-12-28
91,US,2025-11-24
92,FR,2025-10-12
93,MX,2025-10-13
94,BR,2025-12-13
95,US,2025-11-02
96,DE,2025-11-22
97,US,2025-12-08
98,CA,2025-12-10
99,US,2025-12-28
100,US,2025-12-13
101,ES,2025-10-14
102,GB,2025-11-21
103,CA,2025-10-23
104,MX,2025-12-15
105,FR,2025-10-14
106,US,2025-12-14
107,BR,2025-12-31
108,GB,2025-12-17
109,CA,2025-11-04
110,MX,2025-12-20
111,DE,2025-10-17
112,FR,2025-10-14
113,US,2025-11-27
114,ES,2025-11-14
115,US,2025-10-01
116,DE,2025-12-31
117,DE,2025-11-28
118,US,2025-10-27
119,CA,2025-11-20
120,DE,2025-10-31
121,US,2025-12-23
122,GB,2025-12-18
